trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
758,True,"{'a': 0, 'e': 0}",20,10,20.88110298266061,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
759,True,"{'a': 0, 'e': 0}",20,16,6.718193512249946,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
760,True,"{'a': 0, 'e': 0}",25,17,16.876584792933674,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
761,True,"{'a': 0, 'e': 0}",25,7,33.64347246055718,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
762,True,"{'a': 0, 'e': 0}",20,10,17.492264493388294,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
763,True,"{'a': 0, 'e': 0}",25,17,13.262590194191635,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
764,True,"{'a': 0, 'e': 0}",25,19,12.6819006258537,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
765,True,"{'a': 0, 'e': 0}",20,16,6.431799354652191,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
766,True,"{'a': 0, 'e': 0}",25,17,17.336177707358353,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
767,True,"{'a': 0, 'e': 0}",20,8,22.120856611894816,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
768,True,"{'a': 0, 'e': 0}",20,10,23.123753729079816,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
769,True,"{'a': 0, 'e': 0}",30,16,27.94891187705316,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
770,True,"{'a': 0, 'e': 0}",30,13,34.82644674795329,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
771,True,"{'a': 0, 'e': 0}",20,6,22.96165568958013,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
772,True,"{'a': 0, 'e': 0}",20,13,16.01923300771029,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
773,True,"{'a': 0, 'e': 0}",25,13,22.370079198343525,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
774,True,"{'a': 0, 'e': 0}",20,7,24.024578909032712,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
